id,reference,date,modified,file
fd435618-981e-4a7c-81f8-f78ce480d616,https://docs.djangoproject.com/en/1.11/ref/exceptions/,2017/08/05,,Django Framework Exceptions
fd435618-981e-4a7c-81f8-f78ce480d616,https://docs.djangoproject.com/en/1.11/topics/logging/#django-security,2017/08/05,,Django Framework Exceptions
0d2c3d4c-4b48-4ac3-8f23-ea845746bb1a,http://edgeguides.rubyonrails.org/security.html,2017/08/06,,Ruby on Rails Framework Exceptions
0d2c3d4c-4b48-4ac3-8f23-ea845746bb1a,http://guides.rubyonrails.org/action_controller_overview.html,2017/08/06,,Ruby on Rails Framework Exceptions
0d2c3d4c-4b48-4ac3-8f23-ea845746bb1a,https://stackoverflow.com/questions/25892194/does-rails-come-with-a-not-authorized-exception,2017/08/06,,Ruby on Rails Framework Exceptions
0d2c3d4c-4b48-4ac3-8f23-ea845746bb1a,https://github.com/rails/rails/blob/master/actionpack/lib/action_dispatch/middleware/exception_wrapper.rb,2017/08/06,,Ruby on Rails Framework Exceptions
ae48ab93-45f7-4051-9dfe-5d30a3f78e33,https://docs.spring.io/spring-security/site/docs/current/apidocs/overview-tree.html,2017/08/06,,Spring Framework Exceptions
19aefed0-ffd4-47dc-a7fc-f8b1425e84f9,https://www.python.org/dev/peps/pep-0249/#exceptions,2017/08/12,,Python SQL Exceptions
8a670c6d-7189-4b1c-8017-a417ca84a086,http://www.sqlinjection.net/errors,2017/11/27,,Suspicious SQL Error Messages
170901d1-de11-4de7-bccb-8fa13678d857,,2019/11/01,2019/11/22,Silence.Downloader V3
3ceb2083-a27f-449a-be33-14ec1b7cc973,,2019/11/01,2019/11/20,Silence.EDA Detection
4db60cc0-36fb-42b7-9b58-a5b53019fb74,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/best-practices-security.html,2020/01/21,,AWS CloudTrail Important Change
07330162-dba1-4746-8121-a9647d49d297,,2020/01/21,,AWS Config Disabling Channel/Recorder
26ff4080-194e-47e7-9889-ef7602efed0c,https://github.com/RhinoSecurityLabs/pacu/blob/master/modules/ec2__download_userdata/main.py#L24,2020/02/11,,AWS EC2 Download Userdata
1ab3c5ed-5baf-417b-bb6b-78ca33f6c3df,https://github.com/RhinoSecurityLabs/pacu/blob/master/modules/ec2__startup_shell_script/main.py#L9,2020/02/12,,AWS EC2 Startup Shell Script Change
6e61ee20-ce00-4f8d-8aee-bedd8216f7e3,https://github.com/RhinoSecurityLabs/pacu/blob/master/modules/guardduty__whitelist_ip/main.py#L9,2020/02/11,,AWS GuardDuty Important Change
0a5177f4-6ca9-44c2-aacf-d3f3d8b6e4d2,https://github.com/RhinoSecurityLabs/pacu/blob/master/modules/iam__backdoor_users_keys/main.py#L6,2020/02/12,,AWS IAM Backdoor Users Keys
8a63cdd4-6207-414a-85bc-7e032bd3c1a2,https://github.com/RhinoSecurityLabs/pacu/blob/master/modules/rds__explore_snapshots/main.py#L10,2020/02/12,,AWS RDS Master Password Change
c3f265c7-ff03-4056-8ab2-d486227b4599,https://github.com/RhinoSecurityLabs/pacu/blob/master/modules/rds__explore_snapshots/main.py#L10,2020/02/12,,Restore Public AWS RDS Instance
8ad1600d-e9dc-4251-b0ee-a65268f29add,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html,2020/01/21,,AWS Root Credentials
7e4bfe58-4a47-4709-828d-d86c78b7cc1f,https://www.cisecurity.org/controls/cis-controls-list/,2019/03/26,,Cleartext Protocol Usage
7e4bfe58-4a47-4709-828d-d86c78b7cc1f,https://www.pcisecuritystandards.org/documents/PCI_DSS_v3-2-1.pdf,2019/03/26,,Cleartext Protocol Usage
7e4bfe58-4a47-4709-828d-d86c78b7cc1f,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.04162018.pdf,2019/03/26,,Cleartext Protocol Usage
1a395cbc-a84a-463a-9086-ed8a70e573c7,https://www.cisecurity.org/controls/cis-controls-list/,2019/03/26,,Default Credentials Usage
1a395cbc-a84a-463a-9086-ed8a70e573c7,https://www.pcisecuritystandards.org/documents/PCI_DSS_v3-2-1.pdf,2019/03/26,,Default Credentials Usage
1a395cbc-a84a-463a-9086-ed8a70e573c7,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.04162018.pdf,2019/03/26,,Default Credentials Usage
1a395cbc-a84a-463a-9086-ed8a70e573c7,https://community.qualys.com/docs/DOC-6406-reporting-toolbox-focused-search-lists,2019/03/26,,Default Credentials Usage
9cf01b6c-e723-4841-a868-6d7f8245ca6e,https://www.cisecurity.org/controls/cis-controls-list/,2019/03/26,,Group Modification Logging
9cf01b6c-e723-4841-a868-6d7f8245ca6e,https://www.pcisecuritystandards.org/documents/PCI_DSS_v3-2-1.pdf,2019/03/26,,Group Modification Logging
9cf01b6c-e723-4841-a868-6d7f8245ca6e,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.04162018.pdf,2019/03/26,,Group Modification Logging
9cf01b6c-e723-4841-a868-6d7f8245ca6e,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventID=4728,2019/03/26,,Group Modification Logging
9cf01b6c-e723-4841-a868-6d7f8245ca6e,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventID=4729,2019/03/26,,Group Modification Logging
